date,open,high,low,close,volume
2013-01-01,808.9239043673958,833.4367499542866,800.7529558384322,817.0948528963594,16408.327222424
2013-01-02,805.6634782904258,830.0775230871054,797.5254633581992,813.8014932226523,94160.4522696473
2013-01-03,827.7447335260633,852.8279072692774,819.3836756116586,836.105791440468,101594.82223164191
2013-01-04,879.4135483321406,906.0624437361449,870.5305831974725,888.2965134668087,20311.73415612538
2013-01-05,872.4959626498631,898.9352342453135,863.6828721180464,881.3090531816799,8034.9115293601935
2013-01-06,865.6333646080266,891.8646786870577,856.8895932483495,874.3771359677036,2735.5892027249765
2013-01-07,921.6125867717296,949.5402409163275,912.3033687235304,930.921804819929,5054.139689563129
2013-01-08,951.2861058884101,980.1129575819983,941.6771553238808,960.8950564529396,5575.65554019764
2013-01-09,934.8488566308263,963.1776098620635,925.4059388870805,944.291774374572,87419.1484497913
2013-01-10,956.5395953717691,985.5256437163682,946.8775792569027,966.2016114866354,24731.291600302728
2013-01-11,940.2433098699887,968.7355313812005,930.7459026995847,949.7407170403926,32519.80359378454
2013-01-12,924.1377034347204,952.1418762660755,914.8029791576021,933.4724277118388,2391.267863446493
2013-01-13,934.4681683083878,962.7853855298541,925.0290959012324,943.9072407155433,6647.748938017877
2013-01-14,864.3538911334105,890.5464332889684,855.6230437482244,873.0847385185964,53480.89554242019
2013-01-15,806.0128443533886,830.4374760004611,797.8713004710311,814.1543882357461,29341.967626490354
2013-01-16,789.0934247884004,813.0053467516852,781.1227841339721,797.0640654428287,19011.412226118504
2013-01-17,758.3083298265045,781.2873701242773,750.6486497272468,765.9680099257621,38748.30758493127
2013-01-18,768.9776471185545,792.280000061541,761.2101961375589,776.74509809955,113074.00627749482
2013-01-19,742.2011049043803,764.6920474772403,734.7041240467602,749.6980857620002,17658.235188493327
2013-01-20,701.3858718580727,722.6399891871052,694.3011660817286,708.4705776344169,23608.68195137062
2013-01-21,743.5573642509702,766.0894055919086,736.0466838039906,751.0680446979496,26704.75500831705
2013-01-22,737.9575950613424,760.3199464268376,730.5034779395106,745.4117121831741,240893.3624944943
2013-01-23,741.0578495151468,763.5141479853028,733.5724166917614,748.5432823385321,2699.019223865917
2013-01-24,699.9366032103815,721.1468033076658,692.8665365112868,707.0066699094763,43617.90520124939
2013-01-25,685.7451723131743,706.5253290499371,678.81845340092,692.6718912254286,19637.52884116693
2013-01-26,689.8163752874048,710.7199018112656,682.8485331127845,696.784217462025,38823.139479425205
2013-01-27,659.0921311480744,679.0646199707434,652.4346348738515,665.7496274222974,11414.359488548014
2013-01-28,669.9855536479789,690.2881461827661,663.2180228030498,676.753084492908,20973.91851086605
2013-01-29,654.893762170145,674.7390276904524,648.2786736633758,661.5088506769141,44864.879749997315
2013-01-30,648.2349661252547,667.8784499472321,641.6871381845955,654.7827940659138,495295.68222497863
2013-01-31,633.6054279586078,652.805592442202,627.2053731307432,640.0054827864726,49416.32871762679
2013-02-01,681.5003765723129,702.1519031351103,674.6165343847139,688.3842187599121,9432.66931613052
2013-02-02,682.1546925875082,702.8260469083417,675.2642411472303,689.045144027786,14418.109764835974
2013-02-03,654.317025682855,674.1448143399114,647.7077627971696,660.9262885685405,13996.82632203945
2013-02-04,676.8267068364963,697.336607043663,669.9900734341074,683.6633402388852,3656.8479056826295
2013-02-05,644.7899634098657,664.3290532101647,638.2769334764326,651.3029933432987,15833.920870846508
2013-02-06,651.1440743462113,670.8757129627631,644.5668614740273,657.7212872183952,45836.18308197314
2013-02-07,601.0796869042257,619.2942228710205,595.008174915294,607.1511988931572,6159.604690961867
2013-02-08,570.0474802576848,587.3216463260995,564.2894249015466,575.805535613823,62848.51908492118
2013-02-09,575.3913615367755,592.8274634015264,569.5793275818586,581.2033954916925,35874.24189831429
